nom_programme;numero;rue;cp;ville
LA BENISSON DIEU;5;RUE DE VALBENOITE;42720;LA BENISSON DIEU
CORDELLE I;24;RUE DU DOCTEUR OUILLON;42123;CORDELLE
ST JUST EN CHEVALET II;264;RUE DU PONT DE COMBRE;42430;ST JUST EN CHEVALET
13 RUE RAOUL FOLLEREAU;13;RUE RAOUL FOLLEREAU;42300;ROANNE
RÉSIDENCE MARGUERITE;352;ROUTE DU FOREZ;42260;CREMEAUX
RES DU PRIEURE;230;RUE JEAN PLASSE;42153;RIORGES
ILOT QUAI DU BEAL;18;QUAI DU BEAL;42300;ROANNE
RÉSIDENCE MARGUERITE;120;IMPASSE DES MARGUERITES;42640;ST GERMAIN LESPINASSE
RUE DU FOREZ;26;RUE DU FOREZ;42155;POUILLY LES NONAINS
RUE DE LA COOPERATION;20;RUE DE LA COOPERATION;42300;ROANNE
LOT. LA BOURASSIERE;;142 A 187 IMP LA BOURASSIERE;42460;VILLERS
ST JEAN ST MAURICE II;16;CHEMIN DE LA FAYARDE;42155;SAINT JEAN ST MAURICE
ST VINCENT DE BOISSET;;LA CHAMARY;42120;ST VINCENT DE BOISSET
RÉSIDENCE LA FRATERNITE;;RUE ELISE-GERVAIS;42153;RIORGES
IMP. DES MARGUER;;IMPASSE DES MARGUERITES;42640;ST GERMAIN LESPINASSE
RUE DE LA MAISON DIEU;11;RUE DE LA MAISON DIEU;42370;ST HAON LE CHATEL
RESID LE SOLEIL;42;RUE CLAUDE BOCHARD;42300;ROANNE
CORDELLE II;1;ROUTE DE ROANNE;42123;CORDELLE
RÉSIDENCE LE FLOREAL;119;RUE LEON BLUM;42153;RIORGES
RÉSIDENCE ERIC TABARLY;1;RUE DE L OUDAN;42300;ROANNE
MAISONS SAINT CLAIR;36;RUE DU MAYOLLET;42300;ROANNE
78 RUE DE VILLEMONTAIS;78;RUE DE VILLEMONTAIS;42300;ROANNE
RÉSIDENCE L AGREGE;105;RUE ALBERT THOMAS;42300;ROANNE
RUE DES VIES VIEILLES;27;RUE DES VIES VIEILLES;42300;ROANNE
RÉSIDENCE LA GENESE;40;RUE BRISON;42300;ROANNE
RUE DE LA BRUYERE;282;RUE DE LA BRUYERE;42155;LENTIGNY
RÉSIDENCE LA COURONNE;13;RUE ARAGO;42300;ROANNE
BOULEVARD DE THIERS;26;BOULEVARD DE THIERS;42300;ROANNE
9 RUE CENTRALE- (ESCAT);4;RUE JEAN MOULIN;42300;ROANNE
RÉSIDENCE LE COLOMBIER;15;RUE DU COLOMBIER;42300;ROANNE
RÉSIDENCE MARGUERITE;21;RUE BRAVARD;42300;ROANNE
RÉSIDENCE LES TRAVERSES ;14;RUE CLAUDE BOCHARD;42300;ROANNE
RÉSIDENCE EOLE;108;RUE DU MOULIN A VENT;42300;ROANNE
OUDAN III;1;IMPASSE ALAIN BOMBARD;42300;ROANNE
1 BIS RUE FRANCISQUE ROCHARD;1;RUE FRANCISQUE ROCHARD;42300;ROANNE
RES. LA RAMBERTE;16;RUE CHARBILLOT;42300;ROANNE
RES. DU PETIT BOIS ;3;AVENUE DE BEAUSEJOUR;42300;ROANNE
RÉSIDENCE EUCHER GIRARDIN;5;RUE JULIETTE DROUET;42300;ROANNE
LOT. LES FRENES;122;ALLEE DES ROSSIGNOLS;42120;COMMELLE VERNAY
HAMEAU LES TILLEULS CHANDON;7;ALLEE DES TILLEULS;42190;CHANDON
RÉSIDENCE LES PLATANES;171;RUE CLAUDE DEBUSSY;42300;VILLEREST
RÉSIDENCE LE BALTIMORE;16;RUE JEAN MOULIN;42120;LE COTEAU
RUE DES CLOSIERS;11;RUE DES CLOSIERS;42300;VILLEREST
CLOS VERNAY;10;CLOS VERNAY;42510;BALBIGNY
RÉSIDENCE L ATTIQUE;84;RUE ALBERT THOMAS;42300;ROANNE
RES. LA ROUTE BLEUE;81;RUE FRANCOISE SAGAN;42153;RIORGES
RÉSIDENCE DANIELLE CASANOVA;8;RUE DANIELLE CASANOVA;42300;ROANNE
IMP DU CHARDONNERET VILLEREST;30;IMPASSE DU CHARDONNERET;42300;VILLEREST
11 URFE;11;RUE D URFE;42300;ROANNE
RÉSIDENCE CLAUDE D URFE;23;RUE D URFE;42300;ROANNE
TUILERIES;4;IMPASSE MARTIN LUTHER KING;42300;MABLY
RÉSIDENCE LES THERMES;6;RUE MARX DORMOY;42300;ROANNE
RÉSIDENCE LE CARNOT;5;AVENUE CARNOT;42300;ROANNE
RÉSIDENCE TERRASSE D ARAGO;1;RUE JEANNE D ARC;42300;ROANNE
32 CHEM. DE LA GOUTTE LORGNIERE;32;CHEMIN DE LA GOUTTE LORGNIERE;42720;BRIENNON
POUILLY LES NONAINS IV;88;ALLEE DES EGLANTINES;42155;POUILLY LES NONAINS
RÉSIDENCE DU CLOS DE BROSSE;21;RUE DU CLOS DE BROSSE;42370;RENAISON
MONTAGNY III;32;IMPASSE BUCHET;42840;MONTAGNY
LOT LES FRENES;68;ROUTE DE PARIGNY;42120;COMMELLE VERNAY
RÉSIDENCE PIERRE BROSSOLETTE;28;RUE PIERRE BROSSOLETTE;42300;ROANNE
